Concurso;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15
3107;23;1;7;16;25;10;17;9;4;12;3;5;2;13;19
3106;19;15;20;4;14;21;22;7;12;10;25;3;17;13;2
3105;2;8;15;16;10;23;24;17;12;14;4;6;25;5;22
3104;15;4;2;19;24;6;1;9;13;5;17;8;25;3;10
3103;12;13;23;11;5;6;2;7;8;25;16;15;24;17;22
3102;8;11;18;19;25;15;10;24;13;12;1;16;14;21;20
3101;20;17;11;25;23;15;18;3;9;8;19;24;10;12;21
3100;20;1;4;25;8;22;6;3;21;15;10;2;16;18;9
3099;5;17;6;8;22;18;12;1;11;23;7;20;10;21;25
3098;1;5;15;2;24;6;14;16;13;10;8;19;3;21;11
3097;13;14;20;15;4;25;1;17;7;3;12;18;9;2;8
3096;14;2;17;21;15;9;4;19;6;20;16;3;13;22;25
3095;11;5;21;6;4;10;19;23;12;24;8;2;22;7;1
3094;3;18;10;22;4;13;12;2;14;15;21;6;8;17;5
3093;12;16;14;25;2;22;6;24;5;7;20;1;17;10;3
3092;8;21;13;17;22;6;25;5;9;23;1;4;20;15;10
3091;21;5;20;14;25;8;4;13;15;2;9;19;18;11;24
3090;8;13;18;10;23;17;25;11;22;3;21;1;4;14;19
3089;18;12;4;2;8;5;1;23;15;22;13;21;10;11;20
3088;22;13;11;9;18;20;25;5;21;2;1;3;23;15;10
3087;10;21;24;1;12;14;4;5;18;25;3;6;17;7;2
3086;12;18;23;13;11;1;4;19;6;17;3;16;5;7;21
3085;13;24;20;9;3;7;6;11;4;15;14;19;25;2;12
3084;12;22;23;24;9;2;20;5;4;1;18;16;19;25;17
3083;8;9;23;21;19;5;4;18;12;11;2;20;15;10;7
3082;10;24;17;5;7;21;3;18;4;19;1;13;9;6;12
3081;24;19;6;15;13;25;4;10;17;2;1;18;21;5;23
3080;10;1;20;3;25;13;15;17;5;4;7;6;11;18;9
3079;8;5;6;4;25;24;10;7;13;1;18;14;16;2;12
3078;20;7;14;21;11;8;19;6;2;23;9;15;22;10;13
