Concurso;B1;B2;B3;B4;B5
6444;48;33;58;76;60
6443;48;31;30;4;72
6442;50;33;26;31;78
6441;75;22;77;11;16
6440;73;15;32;61;4
6439;62;80;64;3;31
6438;52;44;9;75;24
6437;50;76;3;15;60
6436;17;44;34;20;46
6435;9;58;56;4;48
6434;7;74;40;68;21
6433;77;39;11;4;63
6432;55;24;60;12;10
6431;67;57;51;30;70
6430;79;47;18;72;62
6429;21;25;65;78;72
6428;31;25;76;39;49
6427;79;46;14;59;50
6426;34;28;66;19;44
6425;66;53;7;33;4
6424;4;34;39;55;24
6423;24;71;68;25;32
6422;79;70;41;31;38
6421;78;1;38;3;63
6420;73;46;63;65;7
6419;10;50;51;24;79
6418;30;68;49;70;16
6417;53;49;22;64;19
6416;26;9;76;64;58
6415;62;55;40;80;78
6414;35;58;34;74;4
6413;79;3;78;69;26
6412;11;36;1;59;22
6411;48;42;60;23;57
6410;55;52;51;14;70
6409;25;35;73;24;44
6408;18;75;78;52;51
6407;67;15;7;4;70
6406;29;26;20;31;40
6405;74;57;67;60;39
6404;69;25;52;76;47
6403;55;17;43;53;68
6402;3;49;66;67;70
6401;24;32;5;9;1
6400;58;69;72;6;24
6399;33;41;49;38;48
6398;18;33;30;14;22
6397;49;61;24;31;54
6396;59;65;26;5;9
6395;27;51;35;78;14
6394;60;70;63;62;39
6393;19;9;20;40;74
6392;41;25;80;10;74
6391;46;23;65;30;59
6390;38;61;21;52;67
6389;75;8;16;63;17
6388;61;15;56;24;26
6387;11;43;34;6;36
6386;64;6;48;80;34
6385;7;47;70;53;45
6384;27;58;52;39;75
6383;21;80;51;59;50
6382;20;69;78;52;45
6381;62;18;41;6;22
6380;46;45;50;44;32
6379;56;26;66;54;24
6378;29;60;74;56;40
6377;62;21;44;25;9
6376;69;25;3;37;31
6375;4;60;44;55;34
6374;13;53;28;19;4
6373;6;77;62;2;13
6372;37;11;72;1;42
6371;45;39;6;44;36
6370;51;12;6;7;23
6369;13;67;55;21;39
6368;52;72;26;3;35
6367;42;75;2;53;72
6366;79;67;56;72;32
6365;4;40;54;19;73
6364;60;3;51;41;42
6363;58;35;79;62;16
6362;35;65;8;53;70
6361;16;18;30;71;36
